Beginner:          | Advanced:
1. 21/3            | 1. 12/15
2. 2/3             | 2. 2/7
3. 4/3             | 3. 2/12
4. 28/4            | 4. 22/7
5. 8/12            | 5. 9/21
6. 1 1/3           | 6. 1/6
7. 5/1             | 7. 6/14
8. 125/5           | 8. 8/10
                   |
Beginner Answers:  | Advanced Answers:
1. 4, 7            | 1. 8, 0.8
2. 5, 0.6          | 2. 0, 0.285714
3. 6, 1.3          | 3. 6, 0.16
4. 1, 7            | 4. 0, 3.14285714
5. 2, 0.6          | 5. 7, 0.4285714285714
6. 3, 1.3          | 6. 3, 0.16
7. 0, 5            | 7. 5, 0.4285714285714
8. 0, 25           | 8. 1, 0.8
